label,query,engine,json_file,max_results,start_year,end_year,pdf_folder
pubmed_Ethiopia_Abattoir,(Livestock OR ruminants OR sheep OR goats OR cattle OR cow OR ram OR ewe OR bull OR calf OR lamb OR kid) AND Ethiopia AND (Abattoir OR slaughter*) AND (prevalence OR incidence),pubmed,output/pubmed_Ethiopia/json/Abattoir.json,200,2010,2020,output/pubmed_Ethiopia/pdf/
pubmed_Ethiopia_Anthrax,"(Livestock OR ruminants OR sheep OR goats OR cattle OR cow OR ram OR ewe OR bull) AND Ethiopia AND (Anthrax OR ""Bacillus anthracis"") AND (prevalence OR incidence)",pubmed,output/pubmed_Ethiopia/json/Anthrax.json,200,2010,2020,output/pubmed_Ethiopia/pdf/
pubmed_Ethiopia_Babesiosis,"(Livestock OR ruminants OR sheep OR goats OR cattle OR cow OR ram OR ewe OR bull) AND Ethiopia AND (Babesi* OR ""Babesia bigemina"" OR ""Babesia bovis"" OR ""Babesia bovis"" OR ""Babesia motasi"" OR Piroplasmosis OR ""Red water"") AND (prevalence OR incidence)",pubmed,output/pubmed_Ethiopia/json/Babesiosis.json,200,2010,2020,output/pubmed_Ethiopia/pdf/
pubmed_Ethiopia_Blackleg,"(Livestock OR ruminants OR sheep OR goats OR cattle OR cow OR ram OR ewe OR bull) AND Ethiopia AND (Blackleg OR Blackquarter OR ""Black leg"" OR ""Black quarter"" OR ""Clostridium chauvoei"") AND (prevalence OR incidence)",pubmed,output/pubmed_Ethiopia/json/Blackleg.json,200,2010,2020,output/pubmed_Ethiopia/pdf/
pubmed_Ethiopia_Bluetongue,"(Livestock OR ruminants OR sheep OR goats OR ram OR ewe OR cattle OR bull OR cow) AND Ethiopia AND (Bluetongue OR ""Blue tongue"") AND (prevalence OR incidence)",pubmed,output/pubmed_Ethiopia/json/Bluetongue.json,200,2010,2020,output/pubmed_Ethiopia/pdf/
pubmed_Ethiopia_Bovine anaplasmosis,"(Livestock OR ruminants OR cattle OR cow OR bull) AND Ethiopia AND (Anaplasm* OR ""Bovine anaplasmosis"" OR ""Anaplasma marginale"") AND (prevalence OR incidence)",pubmed,output/pubmed_Ethiopia/json/Bovine anaplasmosis.json,200,2010,2020,output/pubmed_Ethiopia/pdf/
pubmed_Ethiopia_Bovine genital campylobacteriosis,"(Livestock OR ruminants OR cattle OR cow OR bull) AND Ethiopia AND (""Bovine Genital Campylobacteriosis"" OR ""Campylobacter*"" OR ""Campylobacter fetus"") AND (prevalence OR incidence)",pubmed,output/pubmed_Ethiopia/json/Bovine genital campylobacteriosis.json,200,2010,2020,output/pubmed_Ethiopia/pdf/
pubmed_Ethiopia_Bovine spongiform encephalopathy,"(Livestock OR ruminants OR cattle OR cow OR bull) AND Ethiopia AND (""Bovine Spongiform Encephalopathy"" OR ""prion disease"") AND (prevalence OR incidence)",pubmed,output/pubmed_Ethiopia/json/Bovine spongiform encephalopathy.json,200,2010,2020,output/pubmed_Ethiopia/pdf/
pubmed_Ethiopia_Bovine tuberculosis,"(Livestock OR ruminants OR cattle OR cow OR bull) AND Ethiopia AND (Tuberculosis OR ""Mycobacterium bovis"") AND (prevalence OR incidence)",pubmed,output/pubmed_Ethiopia/json/Bovine tuberculosis.json,200,2010,2020,output/pubmed_Ethiopia/pdf/
pubmed_Ethiopia_Bovine viral diarrhoea,"(Livestock OR ruminants OR cattle OR cow OR bull) AND Ethiopia AND (BVD OR ""Bovine viral diarr*"") AND (prevalence OR incidence)",pubmed,output/pubmed_Ethiopia/json/Bovine viral diarrhoea.json,200,2010,2020,output/pubmed_Ethiopia/pdf/
pubmed_Ethiopia_Brucellosis,"(Livestock OR ruminants OR sheep OR goats OR cattle OR cow OR ram OR ewe OR bull) AND Ethiopia AND (Brucell* OR ""Brucella abortus"" OR ""Brucella melitensis"") AND (prevalence OR incidence)",pubmed,output/pubmed_Ethiopia/json/Brucellosis.json,200,2010,2020,output/pubmed_Ethiopia/pdf/
pubmed_Ethiopia_Caseous lymphadenitis,"(Livestock OR ruminants OR sheep OR goats OR ram OR ewe) AND Ethiopia AND (""Corynebacterium pseudotuberculosis"" OR ""caseous lymphadenitis"") AND (prevalence OR incidence)",pubmed,output/pubmed_Ethiopia/json/Caseous lymphadenitis.json,200,2010,2020,output/pubmed_Ethiopia/pdf/
pubmed_Ethiopia_Chlamydiosis,"(Livestock OR ruminants OR sheep OR goats OR cattle OR cow OR ewe OR bull OR ram) AND Ethiopia AND (Chlamydi* OR ""Chlamydia abortus"" OR ""Chlamidophila abortus"" OR ""Enzootic abortion"" OR ""Ovine Chlamydiosis"" OR ""Chlamydia pecorum"" OR ""Chlamydophila pecorum"") AND (prevalence OR incidence)",pubmed,output/pubmed_Ethiopia/json/Chlamydiosis.json,200,2010,2020,output/pubmed_Ethiopia/pdf/
pubmed_Ethiopia_Coenurosis,"(Livestock OR ruminants OR sheep OR goats OR cattle OR cow OR ewe OR bull OR ram) AND Ethiopia AND (Coenur* OR ""Coenurus cerebralis"" OR gid OR sturdy) AND (prevalence OR incidence)",pubmed,output/pubmed_Ethiopia/json/Coenurosis.json,200,2010,2020,output/pubmed_Ethiopia/pdf/
pubmed_Ethiopia_Co-infections,"(Livestock OR ruminants OR sheep OR goats OR cattle OR cow OR ewe OR bull OR ram) AND Ethiopia AND (co-infection OR ""co-infected with"" OR co-morbidit*) AND (prevalence OR incidence)",pubmed,output/pubmed_Ethiopia/json/Co-infections.json,200,2010,2020,output/pubmed_Ethiopia/pdf/
pubmed_Ethiopia_Contagious agalactia,"(Livestock OR ruminants OR sheep OR goats OR ewe) AND Ethiopia AND (Mycoplasm* OR ""Mycoplasma agalactiae"") AND (prevalence OR incidence)",pubmed,output/pubmed_Ethiopia/json/Contagious agalactia.json,200,2010,2020,output/pubmed_Ethiopia/pdf/
pubmed_Ethiopia_Contagious bovine pleuropneumonia (CBPP),"(Livestock OR ruminants OR cattle OR cow OR bull) AND Ethiopia AND (""Contagious bovine pleuro*"" OR CBPP OR Mycoplasma) AND (prevalence OR incidence)",pubmed,output/pubmed_Ethiopia/json/Contagious bovine pleuropneumonia (CBPP).json,200,2010,2020,output/pubmed_Ethiopia/pdf/
pubmed_Ethiopia_Contagious caprine pleuropneumonia (CCPP),"(Livestock OR ruminants OR goats OR ram OR ewe) AND Ethiopia AND (""Contagious caprine pleuro*"" OR CCPP OR Mycoplasma) AND (prevalence OR incidence)",pubmed,output/pubmed_Ethiopia/json/Contagious caprine pleuropneumonia (CCPP).json,200,2010,2020,output/pubmed_Ethiopia/pdf/
pubmed_Ethiopia_Contagious ecthyma (Orf disease),"(Livestock OR ruminants OR sheep OR goats OR cattle OR cow OR ram OR ewe OR bull) AND Ethiopia AND (""Contagious ecthyma"" OR Orf OR capripox OR ""contagious pustular dermatitis"") AND (prevalence OR incidence)",pubmed,output/pubmed_Ethiopia/json/Contagious ecthyma (Orf disease).json,200,2010,2020,output/pubmed_Ethiopia/pdf/
pubmed_Ethiopia_Cowdriosis,"(Livestock OR ruminants OR sheep OR goats OR cattle OR cow OR ram OR ewe OR bull) AND Ethiopia AND (Cowdriosis OR Heartwater Or ""Ehrichia ruminantium"" OR Ehrlichi* OR ""tick-borne diseases"" OR ""haemoparasitic diseases"" OR haemoparasites) AND (prevalence OR incidence)",pubmed,output/pubmed_Ethiopia/json/Cowdriosis.json,200,2010,2020,output/pubmed_Ethiopia/pdf/
pubmed_Ethiopia_Cryptosporidiosis,"(Livestock OR ruminants OR sheep OR goats OR cattle OR cow OR ewe OR calf OR lamb OR kid) AND Ethiopia AND (Cryptosporidi* OR ""Cryptosporidium parvum"") AND (prevalence OR incidence)",pubmed,output/pubmed_Ethiopia/json/Cryptosporidiosis.json,200,2010,2020,output/pubmed_Ethiopia/pdf/
pubmed_Ethiopia_Cysticercosis,"(Livestock OR ruminants OR sheep OR goats OR cattle OR cow OR ram OR ewe) AND Ethiopia AND (Cysticerc* OR ""Cysticercus bovis"" OR ""Cysticercus ovis"" OR ""Taenia saginata"" OR ""Taenia ovis"" OR ""Cysticercus tenuicolis"" OR ""Taenia hydatigena"" OR ""sheep measles"" OR ""sheep bladder worm"" OR ""beef measles"") AND (prevalence OR incidence)",pubmed,output/pubmed_Ethiopia/json/Cysticercosis.json,200,2010,2020,output/pubmed_Ethiopia/pdf/
