label,query,engine,json_file,max_results,start_year,end_year,pdf_folder
pubmed_Nigeria_Abattoir,(Livestock OR ruminants OR sheep OR goats OR cattle OR cow OR ram OR ewe OR bull OR calf OR lamb OR kid) AND Nigeria AND (Abattoir OR slaughter*) AND (prevalence OR incidence),pubmed,output/pubmed_Nigeria/json/Abattoir.json,200,2010,2020,output/pubmed_Nigeria/pdf/
pubmed_Nigeria_Anthrax,"(Livestock OR ruminants OR sheep OR goats OR cattle OR cow OR ram OR ewe OR bull) AND Nigeria AND (Anthrax OR ""Bacillus anthracis"") AND (prevalence OR incidence)",pubmed,output/pubmed_Nigeria/json/Anthrax.json,200,2010,2020,output/pubmed_Nigeria/pdf/
pubmed_Nigeria_Babesiosis,"(Livestock OR ruminants OR sheep OR goats OR cattle OR cow OR ram OR ewe OR bull) AND Nigeria AND (Babesi* OR ""Babesia bigemina"" OR ""Babesia bovis"" OR ""Babesia bovis"" OR ""Babesia motasi"" OR Piroplasmosis OR ""Red water"") AND (prevalence OR incidence)",pubmed,output/pubmed_Nigeria/json/Babesiosis.json,200,2010,2020,output/pubmed_Nigeria/pdf/
pubmed_Nigeria_Blackleg,"(Livestock OR ruminants OR sheep OR goats OR cattle OR cow OR ram OR ewe OR bull) AND Nigeria AND (Blackleg OR Blackquarter OR ""Black leg"" OR ""Black quarter"" OR ""Clostridium chauvoei"") AND (prevalence OR incidence)",pubmed,output/pubmed_Nigeria/json/Blackleg.json,200,2010,2020,output/pubmed_Nigeria/pdf/
pubmed_Nigeria_Bluetongue,"(Livestock OR ruminants OR sheep OR goats OR ram OR ewe OR cattle OR bull OR cow) AND Nigeria AND (Bluetongue OR ""Blue tongue"") AND (prevalence OR incidence)",pubmed,output/pubmed_Nigeria/json/Bluetongue.json,200,2010,2020,output/pubmed_Nigeria/pdf/
pubmed_Nigeria_Bovine anaplasmosis,"(Livestock OR ruminants OR cattle OR cow OR bull) AND Nigeria AND (Anaplasm* OR ""Bovine anaplasmosis"" OR ""Anaplasma marginale"") AND (prevalence OR incidence)",pubmed,output/pubmed_Nigeria/json/Bovine anaplasmosis.json,200,2010,2020,output/pubmed_Nigeria/pdf/
pubmed_Nigeria_Bovine genital campylobacteriosis,"(Livestock OR ruminants OR cattle OR cow OR bull) AND Nigeria AND (""Bovine Genital Campylobacteriosis"" OR ""Campylobacter*"" OR ""Campylobacter fetus"") AND (prevalence OR incidence)",pubmed,output/pubmed_Nigeria/json/Bovine genital campylobacteriosis.json,200,2010,2020,output/pubmed_Nigeria/pdf/
pubmed_Nigeria_Bovine spongiform encephalopathy,"(Livestock OR ruminants OR cattle OR cow OR bull) AND Nigeria AND (""Bovine Spongiform Encephalopathy"" OR ""prion disease"") AND (prevalence OR incidence)",pubmed,output/pubmed_Nigeria/json/Bovine spongiform encephalopathy.json,200,2010,2020,output/pubmed_Nigeria/pdf/
pubmed_Nigeria_Bovine tuberculosis,"(Livestock OR ruminants OR cattle OR cow OR bull) AND Nigeria AND (Tuberculosis OR ""Mycobacterium bovis"") AND (prevalence OR incidence)",pubmed,output/pubmed_Nigeria/json/Bovine tuberculosis.json,200,2010,2020,output/pubmed_Nigeria/pdf/
pubmed_Nigeria_Bovine viral diarrhoea,"(Livestock OR ruminants OR cattle OR cow OR bull) AND Nigeria AND (BVD OR ""Bovine viral diarr*"") AND (prevalence OR incidence)",pubmed,output/pubmed_Nigeria/json/Bovine viral diarrhoea.json,200,2010,2020,output/pubmed_Nigeria/pdf/
