label,query,engine,json_file,max_results,start_year,end_year,pdf_folder
pubmed_Tanzania_Abattoir,(Livestock OR ruminants OR sheep OR goats OR cattle OR cow OR ram OR ewe OR bull OR calf OR lamb OR kid) AND Tanzania AND (Abattoir OR slaughter*) AND (prevalence OR incidence),pubmed,output/pubmed_Tanzania/json/Abattoir.json,200,2010,2020,output/pubmed_Tanzania/pdf/
pubmed_Tanzania_Anthrax,"(Livestock OR ruminants OR sheep OR goats OR cattle OR cow OR ram OR ewe OR bull) AND Tanzania AND (Anthrax OR ""Bacillus anthracis"") AND (prevalence OR incidence)",pubmed,output/pubmed_Tanzania/json/Anthrax.json,200,2010,2020,output/pubmed_Tanzania/pdf/
pubmed_Tanzania_Babesiosis,"(Livestock OR ruminants OR sheep OR goats OR cattle OR cow OR ram OR ewe OR bull) AND Tanzania AND (Babesi* OR ""Babesia bigemina"" OR ""Babesia bovis"" OR ""Babesia bovis"" OR ""Babesia motasi"" OR Piroplasmosis OR ""Red water"") AND (prevalence OR incidence)",pubmed,output/pubmed_Tanzania/json/Babesiosis.json,200,2010,2020,output/pubmed_Tanzania/pdf/
pubmed_Tanzania_Blackleg,"(Livestock OR ruminants OR sheep OR goats OR cattle OR cow OR ram OR ewe OR bull) AND Tanzania AND (Blackleg OR Blackquarter OR ""Black leg"" OR ""Black quarter"" OR ""Clostridium chauvoei"") AND (prevalence OR incidence)",pubmed,output/pubmed_Tanzania/json/Blackleg.json,200,2010,2020,output/pubmed_Tanzania/pdf/
pubmed_Tanzania_Bluetongue,"(Livestock OR ruminants OR sheep OR goats OR ram OR ewe OR cattle OR bull OR cow) AND Tanzania AND (Bluetongue OR ""Blue tongue"") AND (prevalence OR incidence)",pubmed,output/pubmed_Tanzania/json/Bluetongue.json,200,2010,2020,output/pubmed_Tanzania/pdf/
pubmed_Tanzania_Bovine anaplasmosis,"(Livestock OR ruminants OR cattle OR cow OR bull) AND Tanzania AND (Anaplasm* OR ""Bovine anaplasmosis"" OR ""Anaplasma marginale"") AND (prevalence OR incidence)",pubmed,output/pubmed_Tanzania/json/Bovine anaplasmosis.json,200,2010,2020,output/pubmed_Tanzania/pdf/
pubmed_Tanzania_Bovine genital campylobacteriosis,"(Livestock OR ruminants OR cattle OR cow OR bull) AND Tanzania AND (""Bovine Genital Campylobacteriosis"" OR ""Campylobacter*"" OR ""Campylobacter fetus"") AND (prevalence OR incidence)",pubmed,output/pubmed_Tanzania/json/Bovine genital campylobacteriosis.json,200,2010,2020,output/pubmed_Tanzania/pdf/
pubmed_Tanzania_Bovine spongiform encephalopathy,"(Livestock OR ruminants OR cattle OR cow OR bull) AND Tanzania AND (""Bovine Spongiform Encephalopathy"" OR ""prion disease"") AND (prevalence OR incidence)",pubmed,output/pubmed_Tanzania/json/Bovine spongiform encephalopathy.json,200,2010,2020,output/pubmed_Tanzania/pdf/
pubmed_Tanzania_Bovine tuberculosis,"(Livestock OR ruminants OR cattle OR cow OR bull) AND Tanzania AND (Tuberculosis OR ""Mycobacterium bovis"") AND (prevalence OR incidence)",pubmed,output/pubmed_Tanzania/json/Bovine tuberculosis.json,200,2010,2020,output/pubmed_Tanzania/pdf/
pubmed_Tanzania_Bovine viral diarrhoea,"(Livestock OR ruminants OR cattle OR cow OR bull) AND Tanzania AND (BVD OR ""Bovine viral diarr*"") AND (prevalence OR incidence)",pubmed,output/pubmed_Tanzania/json/Bovine viral diarrhoea.json,200,2010,2020,output/pubmed_Tanzania/pdf/
pubmed_Tanzania_Brucellosis,"(Livestock OR ruminants OR sheep OR goats OR cattle OR cow OR ram OR ewe OR bull) AND Tanzania AND (Brucell* OR ""Brucella abortus"" OR ""Brucella melitensis"") AND (prevalence OR incidence)",pubmed,output/pubmed_Tanzania/json/Brucellosis.json,200,2010,2020,output/pubmed_Tanzania/pdf/
pubmed_Tanzania_Caseous lymphadenitis,"(Livestock OR ruminants OR sheep OR goats OR ram OR ewe) AND Tanzania AND (""Corynebacterium pseudotuberculosis"" OR ""caseous lymphadenitis"") AND (prevalence OR incidence)",pubmed,output/pubmed_Tanzania/json/Caseous lymphadenitis.json,200,2010,2020,output/pubmed_Tanzania/pdf/
pubmed_Tanzania_Chlamydiosis,"(Livestock OR ruminants OR sheep OR goats OR cattle OR cow OR ewe OR bull OR ram) AND Tanzania AND (Chlamydi* OR ""Chlamydia abortus"" OR ""Chlamidophila abortus"" OR ""Enzootic abortion"" OR ""Ovine Chlamydiosis"" OR ""Chlamydia pecorum"" OR ""Chlamydophila pecorum"") AND (prevalence OR incidence)",pubmed,output/pubmed_Tanzania/json/Chlamydiosis.json,200,2010,2020,output/pubmed_Tanzania/pdf/
pubmed_Tanzania_Coenurosis,"(Livestock OR ruminants OR sheep OR goats OR cattle OR cow OR ewe OR bull OR ram) AND Tanzania AND (Coenur* OR ""Coenurus cerebralis"" OR gid OR sturdy) AND (prevalence OR incidence)",pubmed,output/pubmed_Tanzania/json/Coenurosis.json,200,2010,2020,output/pubmed_Tanzania/pdf/
pubmed_Tanzania_Co-infections,"(Livestock OR ruminants OR sheep OR goats OR cattle OR cow OR ewe OR bull OR ram) AND Tanzania AND (co-infection OR ""co-infected with"" OR co-morbidit*) AND (prevalence OR incidence)",pubmed,output/pubmed_Tanzania/json/Co-infections.json,200,2010,2020,output/pubmed_Tanzania/pdf/
pubmed_Tanzania_Contagious agalactia,"(Livestock OR ruminants OR sheep OR goats OR ewe) AND Tanzania AND (Mycoplasm* OR ""Mycoplasma agalactiae"") AND (prevalence OR incidence)",pubmed,output/pubmed_Tanzania/json/Contagious agalactia.json,200,2010,2020,output/pubmed_Tanzania/pdf/
pubmed_Tanzania_Contagious bovine pleuropneumonia (CBPP),"(Livestock OR ruminants OR cattle OR cow OR bull) AND Tanzania AND (""Contagious bovine pleuro*"" OR CBPP OR Mycoplasma) AND (prevalence OR incidence)",pubmed,output/pubmed_Tanzania/json/Contagious bovine pleuropneumonia (CBPP).json,200,2010,2020,output/pubmed_Tanzania/pdf/
pubmed_Tanzania_Contagious caprine pleuropneumonia (CCPP),"(Livestock OR ruminants OR goats OR ram OR ewe) AND Tanzania AND (""Contagious caprine pleuro*"" OR CCPP OR Mycoplasma) AND (prevalence OR incidence)",pubmed,output/pubmed_Tanzania/json/Contagious caprine pleuropneumonia (CCPP).json,200,2010,2020,output/pubmed_Tanzania/pdf/
pubmed_Tanzania_Contagious ecthyma (Orf disease),"(Livestock OR ruminants OR sheep OR goats OR cattle OR cow OR ram OR ewe OR bull) AND Tanzania AND (""Contagious ecthyma"" OR Orf OR capripox OR ""contagious pustular dermatitis"") AND (prevalence OR incidence)",pubmed,output/pubmed_Tanzania/json/Contagious ecthyma (Orf disease).json,200,2010,2020,output/pubmed_Tanzania/pdf/
pubmed_Tanzania_Cowdriosis,"(Livestock OR ruminants OR sheep OR goats OR cattle OR cow OR ram OR ewe OR bull) AND Tanzania AND (Cowdriosis OR Heartwater Or ""Ehrichia ruminantium"" OR Ehrlichi* OR ""tick-borne diseases"" OR ""haemoparasitic diseases"" OR haemoparasites) AND (prevalence OR incidence)",pubmed,output/pubmed_Tanzania/json/Cowdriosis.json,200,2010,2020,output/pubmed_Tanzania/pdf/
